nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
Thih ê ēng-lō͘ khah khoah; kim ê ēng-lō͘ khah e̍h.,,鐵的用途比較廣，金的用途比較狹,The use of iron is widespread; that of gold is rather restricted.
khah kùi,khah kuì,比較貴,somewhat more expensive than was expected.
"Chit tè au-á sui-jiân chin súi, tān-sī ū khah kùi.",,這一個杯子雖然很漂亮，但是比較貴,"Although this cup is very beautiful, it is somewhat more expensive than I expected. (or than I can afford.)"
khah khì,khah khì,過一些時候 | 以後,after sometime (in the near future)
Khah khì góa siūⁿ boeh chò seng-lí.,,過一些時候，我想要做生意,"After sometime, I think I'll go into business."
koh khah khì,koh khah khì,再過去,a little farther ahead (a litter farther)
Koh khah khì ū chi̍t khám thì-thâu-tiàm.,,再過去有一間理髮店,There is a barber shop a little ahead.
ē khah ióng,ē khah ióng,更加強壯,will get stronger
"Ta̍k-ji̍t ūn-tōng, seng-khu ē khah ióng.",,每天運動，身體會比較強壯,"If a person takes some physical exercise every day, his body will get stronger."
khah sit-lé,khah sit-lé,很抱歉,rather embarrassing
"Góa khah sit-lé, boeh tāi-seng tńg-lâi-khì.",,我很抱歉，要先回去,I am somewhat embarrassed; (because) I want to go back ahead of time.
ē khah sit-lé,ē khah sit-lé,會失禮,to be somewhat rude or impolite
"Góa boeh mn̄g sîn-hū chi̍t kù ōe, m̄ chai ē khah sit-lé bē?",,我要問神父一句話，不知道是否會失禮,"I want to ask you a question, Father; I wonder if this will be a little impolite."
khah ài,khah ài,比較喜歡,to choose | to prefer
Lí khah ài chia̍h sím-mih?,,你比較喜歡吃什麼？,What do you prefer to eat?
khah-chá,khah-tsá,早一點,somewhat early | rather early
Bîn-ná chái-khí boeh khah chá lâi-khì Ko-hiông.,,明天早上要早一點去高雄,"Tomorrow morning, rather early I am going to Kaohsiung."
khah....iā.....,khah....iā.....,怎麼樣⋯⋯也⋯⋯,even if
"Tō-lí (koh) khah chhim, góa iā tio̍h-ài o̍h.",,道理無論怎麼深，我也要學,"Even if the doctrine were still more profound, I must still learn it."
khah....tām-po̍h-á,khah....tām-po̍h-á,更⋯⋯一點點,somewhat | to be inclined to be
"Chit ê gín-ná chin khiáu, tān-sī ū khah chhiú-chhèng tām-po̍h-á.",,這個孩子很聰明，但是有一點頑皮,"This youngster is very clever, but somewhat mischievous."
khah....iā.....,khah....iā.....,怎麼⋯也⋯,no matter how much
"Chit ê gín-ná chin pháiⁿ, khah phah iā m̄ kiaⁿ.",,這個孩子很壞，再打也不怕,"This is a really bad child, no matter how much you beat him, he is still not afraid of you."
khah....iā bē,khah....iā bē,怎麼⋯也不⋯,no matter how much...still will not
"Lí chí ê chhài, khah chia̍h iā bē siān.",,你做的菜，再吃也不厭,"No matter how much of your cooking I eat, I don't get tired of it."
khah....iā m̄,khah....iā m̄,怎麼⋯也不願,no matter how...still not willing
"Góa m̄ chai i teh siū-khì siáⁿ-hòe, khah kiò iā m̄ ìn.",,我不知道他在生氣什麼，再叫（喊）也不回答,"I don't know what he is angry about, no matter how much (often) you call him, he does not answer."
khah lâi,khah lâi,再過來一點,a little towards the speaker
"Tùi sèng-tn̂g khah lâi chit pêng, ū chi̍t khám piáⁿ-tiàm.",,從聖堂下來這一邊，有一間餅行,"There is a bakery, a little towards us, from the Church. (A little up from the Church in this direction)"
khah tōa hàn,khah tuā hàn,更大一點,older
"Lí chím-má iáu bē hiáu, āu-pái nā khah tōa hàn chiū ē-hiáu.",,你現在還不會，將來長大了就會,"Now you still don't understand, later on after you get a little older, you will understand."
khah lāu,khah lāu,老些 | 更老,older
"Lí nā khah lāu, chiū ē chai-iáⁿ kiān-khong sī lōa iàu-kín",,你若老些就會曉得健康是多麼要緊,"When you get older, you will know how important good health is."
tio̍h khah tōa,tio̍h khah tuā,要大些,must get bigger | must grow more
"Chit khoán ê kóe-chí-chhiū tio̍h khah tōa châng, chiah ē siⁿ.",,這種的果樹要大些，才能結果,This type of a fruit tree must get a bit bigger before it bears fruit.
khah lâi,khah lâi,再來一點,to come closer
Khah lâi lè!,,再來一點,Come closer!
khah khì lè!,,再去一點,Step back a bit!
khah óa,khah uá,緊一些,closer
khah khui,khah khui,鬆一些,farther apart
Chē khah óa lè!,,坐得緊一些,Sit closer to me (or together)
Chē khah khui lè!,,坐得鬆一些,Sit farther apart!
khah chhut la̍t,khah tshut la̍t,再出力一點,to exert oneself more
Khah chhut la̍t lè!,,再出點力,Exert yourself a bit more!
khah sio̍k,khah sio̍k,便宜一點,to be cheaper
(Sǹg) khah sio̍k lè!,,算便宜一點,Make it cheaper!
khah-chá,khah-tsá,以前,
Khah-chá ê lâng bô ēng tiān-hóe.,,以前的人沒有用電燈,People in former times did not use electric lights.
khah iâⁿ,khah iânn,勝過,to be superior to
I ê la̍t khah iâⁿ gō͘ ê lâng ê la̍t.,,他的力勝於五個人的力,His strength is superior to that of five men.
khah-su,khah-su,劣於 | 亞於,to be inferior to
Sin-chiú khah sū kū-chiú.,,新酒劣於舊酒,New wine is inferior to old.
khah-bián,khah-bián,不用 | 不到,not so much needed | hardly necessary
Khah bián chi̍t ji̍t,,不用一天,It will hardly take a day.
Khah bián gō͘ kho͘,,不到五塊錢,It won't cost as much as five dollars.
khah-thêng-á,khah-thîng-á,過一會,in a very short time
I khah thêng-á ē tńg-lâi.,,他過一會就回來,He will be back very shortly.
khah ē,khah ē,較容易,more likely to
"Lāu-lâng khah ē poa̍h-tó, lí tio̍h-ài kā i khan lè.",,老人較易摔倒，你要扶他,An old person is more likely to fall; you should lead him by the arm.
khah bē,khah bē,較不容易 | 較不會,less likely to
"Góa léng-sián liáu-āu, ū khah bē siū-khì.",,我領洗以後，較不會生氣,"After (since) I have received Baptism, I am less likely to get angry."
khai-chîⁿ,khai-tsînn,花錢,to spend money lavishly
khai hōe | khui hōe,khai huē | khui huē,開會,to hold a meeting
khai-sí,khai-sí,開始,to begin
khai-bō͘,khai-bōo,開幕,opening (Lit. open-curtain)
Oân-lîm ê sin sèng-tn̂g bîn-ná-chài boeh khai-bō͘,,員林的新聖堂明天要開幕,Tomorrow will be the opening of the new Church in Oan Lim.
khai-bō͘ tián-lé,khai-bōo tián-lé,開幕典禮,openig ceremony
Chú-kàu boeh chú-chhî khai-bō͘ tián-lé.,,主教將主持開幕典禮,The Bishop will manage the opening ceremony.
khak,khak,殼,husks | a shell | a nutshell
(ke oe ah) nn̄g-khak,(ke oe ah) nn̄g-khak,蛋殼,an egg shell
thô͘-tāu-khak,thôo-tāu-khak,花生殼,peanut shells
la̍t-chí-khak,la̍t-tsí-khak,栗子殼,a chestnut shell
hê-á-khak,hê-á-khak,蝦子殼,shell of a shrimp
peh-khak,peh-khak,剝殼,to husk | to pare | to remove the shell
khàm,khàm,蓋,to cover
a̍p-á kòa tio̍h-ài khàm lè.,,盒子蓋要蓋起來,You must put the lid on the box.
khám,khám,間 | 店舖,cl. for a shop
Hit khám thì-thâu-tiàm.,,那間理髮店,That barber shop.
khām-sàu,khām-sàu,咳嗽,to clear the throat
I boeh kóng ōe ê sî lóng ài tāi-seng khām-sàu.,,他講話時都要首先咳嗽一下,"When he is about to talk, he clears his throat very loudly."
khan,khan,牽 | 導,to lead an animal with a string or to lead a person by the hand
Lí tio̍h-ài khan gû khì chhī.,,你要牽牛去餵,You must lead the cow out to feed it.
khan-chhiú,khan-tshiú,妻,one's wife
khang,khang,孔 | 空,a hole | empty
Góa ê ê-té phòa chi̍t khang.,,我的鞋底破了一個洞,The sole of my shoe has a hole in it.
khui-khang,khui-khang,開洞,to make a hole
phīⁿ-khang,phīnn-khang,鼻孔,nostrils
hīⁿ khang,hīnn khang,耳洞,inner part of ear
ngiáu phīⁿ-khang,ngiáu phīnn-khang,清鼻孔,to clean out nose as a barber does
Lí m̄ thang khàng phīⁿ-khang.,,你不要搔鼻孔,Don't pick your nose.
ngiáu hīⁿ-khang,ngiáu hīnn-khang,清耳孔,to clean out ears as a barber does
khàng,khàng,搔,to scrape | to scratch
khàng phīⁿ khang,khàng phīnn khang,搔鼻孔,to pick the nose
khang-khang,khang-khang,空空,empty
khang-khòe,khang-khuè,工作,work
khang siuⁿ-á,khang siunn-á,空箱,an empty box
khang-keng,khang-king,空房,an empty room
khap,khap,俯伏 | 顛覆,to prostrate | to put upside down
Óaⁿ-pôaⁿ nā sé hó ài khap lè.,,碗碟洗後要倒放,"After the dishes have been washed, they must be inverted."
"Góa ài kā lí thiaⁿ kha-chiah-phiaⁿ, chhiáⁿ lí khap lè.",,我要聽你的背部，請你俯臥著,"I want to listen to your back, please prostrate. (said by a doctor to a patient)"
kha̍p,kha̍p,接觸,to touch | come in contact with | strike against | bump into.
Tiān-sòaⁿ kap tiān-sòaⁿ nā sio-kha̍p ē chhut hòe.,,電線和電線相接觸會出火,"When an electric wire comes in contact with another electric wire, it gives off a spark."
"Góa chhiú-nih phâng chi̍t óaⁿ chhài-thng, lí m̄ thang kā góa kha̍p tio̍h.",,我手裡端著一碗菜湯，你別碰上我,"I have a bowl of soup in my hands, don't bump into me."
"Góa ê o͘-thó͘-bái sió-khóa kā i kha̍p-tio̍h nā-tiāⁿ, bô kā i kauh-tio̍h, iā bô kā i pōng-tio̍h.",,我的機器腳踏車觸到他一點而已，沒有輾倒他也沒有碰上他,I barely touched him with my motor-bike; I did not run over him nor did I collide with him.
khàu,khàu,哭,to cry
m̄-bián khàu,m̄-bián khàu,不要哭,no need of crying
khau,khau,刮 | 以刨削,to scrape | to plane
khau-to,khau-to,刨刀,a plane
Chit tè pang kā góa khau hō͘ pîⁿ.,,這片板替我把他刮平,Plane this board smooth for me.
khe,khe,溪,a river
tōa tō͘ khe,tuā tōo khe,大肚溪,Big Belly River
khè-iok,khè-iok,契約,a contract | to make a contract
"Góa āu lé-pài boeh poaⁿ lâi chit keng chhù, góa í-keng kap chhù-chú khè-iok liáu a.",,我下星期將搬到這個房子來，我已經和房東契約完了,"Next week I will move into this house, I have already made a contract with the owner."
kheh-khì,kheh-khì,客氣,ceremony | to stand on ceremony
m̄-thang kheh-khì,m̄-thang kheh-khì,不要客氣,make yourself at home
m̄-bián kheh-khì,m̄-bián kheh-khì,不要客氣,make yourself at home
kheh-thiaⁿ | chiap-thāi-só͘ | èng-chiap-sek,kheh-thiann | tsiap-thāi-sóo | ìng-tsiap-sik,客廳 | 接待所 | 應接室,reception room | guest room
kheh,kheh,閉 | 眼睛,to shut (the eyes)
Lí ba̍k-chiu kheh-kheh teh siūⁿ sím-mih tāi-chì?,,你閉著眼睛在想什麼事情？,"You have your eyes closed, what are you thinking about?"
khèng-chiok,khìng-tsiok,慶祝,to celebrate
Góa lia̍h chi̍t chiah ke boeh lâi khèng-chiok lí ê siⁿ-ji̍t.,,我抓一隻鷄要來慶祝你的生日,"I brought a chicken, I want to congratulate you on your birthday. (I want to celebrate your birthday.)"
khéng,khíng,肯,willing
Lí khéng kā góa pang-bâng bô?,,你肯不肯幫我的忙？,Are you willing to help me.
m̄ khéng,m̄ khíng,不肯,unwilling
I ê sin thih-bé lóng m̄-khéng chioh lâng.,,他的新腳踏車都不肯借給人家,He is unwilling to lend his new bicycle to anyone.
kheng,khing,框,"a frame (of a picture, window etc.)"
siòng-kheng,siòng-khing,相框,a picture frame
mn̂g-kheng,mn̂g-khing,門框,a door frame
thang-á-mn̂g-kheng,thang-á-mn̂g-khing,窗框,a window frame
kheng-sī | khòaⁿ-khin,khing-sī | khuànn-khin,輕視,to despise | to look down upon
Mài kheng-sī góa.,,別輕視我,Don't look down upon me.
khì,khì,去,to go
khí--lâi,khí--lâi,起來,to get up | to raise up
peh--khí-lâi,peh--khí-lâi,爬起來,to climb up | to get up out of bed.
só--khí-lâi,só--khí-lâi,鎖起來,lock it up
pau--khí-lâi,pau--khí-lâi,包起來,wrap it up
koaiⁿ--khí-lâi,kuainn--khí-lâi,關起來,close it
thiàu--khí-lâi,thiàu--khí-lâi,跳起來,to jump up
the̍h--khí-lâi,the̍h--khí-lâi,拿起來,to bring up
khiā--khí-lâi,khiā--khí-lâi,站起來,to stand up
kì--khí-lâi,kì--khí-lâi,記起來,to make a record of
kńg--khí-lâi,kńg--khí-lâi,捲起來,to roll up
khí,khí,築 | 搭 | 房屋,to raise up
khí-chhù,khí-tshù,造房子,to build a house
khí-siáu,khí-siáu,發瘋,crazy
khì-chúi,khì-tsuí,汽水,soda pop
chi̍t koàn khì-chúi,tsi̍t kuàn khì-tsuí,一瓶汽水,a bottle of pop
khì-hāu,khì-hāu,氣候,climate
khì-iû,khì-iû,汽油,gasoline
khí-kám,khí-kám,豈敢 | 不敢當,not at all | don't mention it
khí-hóe,khí-hué,起火,to start or bulid a fire
khí-thâu,khí-thâu,起先,beginning
chò-khí,tsò-khí,做起,to start to do
tha̍k-khí,tha̍k-khí,讀起,to begin studying
Tùi tē kúi kù tha̍k khí?,,從第幾句讀起？,From which sentence (do we) start studying?
chia̍h khí,tsia̍h khí,開始吃,to start to eat
tùi chím-má khí | chū chím-má khí,tuì tsím-má khí | tsū tsím-má khí,從現在起,from now on
khí-kè,khí-kè,漲價,to rise in price
Kīn-lâi ta̍k hāng lóng teh khí-kè.,,近來每樣東西都在漲價,The price of everything has been raising recently.
khi-phiàn,khi-phiàn,欺騙,to cheat | cheat
"Lí nā ē khi-phiàn lâng, chiū ē hō͘ lâng khi-phiàn.",,你若會騙人，就會受人騙,"If you cheat others, they will cheat you."
khì-khū,khì-khū,器具,a tool
khì | siū-khì,khì | siū-khì,生氣,to get angry
Lín má-mà teh khì lí m̄ tha̍k chheh.,,你媽媽正在為你不讀書而生氣,Your mother is angry with you because you don't want to study.
khì-kńg,khì-kńg,氣管,the bronchial tubes
khì-kńg-chi-iām,khì-kńg-tsi-iām,氣管支炎,bronchitis
khì-koân,khì-kuân,棄權,to quit | renounce a right
Pí-sài kàu-lō͘-bóe! m̄ thang khòaⁿ ē su chiū boeh khì-koân.,,必須賽到最後，不要因大勢已去就想棄權,Play the game out! Don't quit because it looks as if you will lose.
khi,khi,傾斜 | 偏向,lean to one side
"Khiā hō͘ ti̍t, m̄ thang khiā khi-khi.",,立正！不站得歪歪斜斜,"Stand up straight, don't lean to one side."
"Chit ki thiāu-á bô ti̍t, khi kòe chiàⁿ-pêng.",,這根柱子不直，斜向右邊,"This pole is not straight, it leans to the right."
"Hong nā thàu, chûn ē khi kòe hong-bóe.",,風勢大時，船身會斜向風吹的方向,"If the wind blows, a vessel will lean in the direction in which the wind is blowing."
khí-kho-i,khí-kho-i,牙科醫,a dentist
khí-kho-i-īⁿ,khí-kho-i-īnn,牙科醫院,a dental hospital | a dentist's office
khiâ,khiâ,騎,to straddle as a horse
khiâ-bé,khiâ-bé,騎馬,to ride a horse
khiâ thih-bé,khiâ thih-bé,騎腳踏車,to ride a bicycle
khiā,khiā,站,to stand
Chhiáⁿ lín khiā-khí-lâi.,,請你們站起來,Please stand up.
khia,khia,奇數,an odd number
"Khia ê sàu thô͘-kha, siang ê koah chháu.",,奇數的掃地，雙數的割草,"If it's an odd number, you must sweep the floor; if it's even you must cut grass."
khiā-ke,khiā-ke,住宅,family residence
"Góa ê tiàm tī chia, khiā-ke tī Lâm Tâi-tiong.",,我的店舖在這裡，住宅在南台中,"My store is here, my residence is in South Taichung."
khiām,khiām,節儉,sparing | thrifty | economical
khiàm,khiàm,欠,to owe | to be missing
Khiàm lâng ê chîⁿ tio̍h-ài kóaⁿ-kín hêng.,,欠人的錢要趕快還,"If you owe people money, you must pay it back quickly."
khiam-pi,khiam-pi,謙卑 | 謙遜的,humble
khiam-sè,khiam-sè,謙卑 | 謙遜的,humble
khiap-sì,khiap-sì,難看的,ugly (only for countenance)
"Gín-ná khiap-sì bô iàu-kín, gâu tha̍k-chheh tio̍h hó.",,小孩子難看沒有關係，會讀書就好,"If a child is ugly it makes no difference, if he is good at the books, then all's O.K."
khiáu,khiáu,聰明,clever | smart
khiau,khiau,曲 | 彎,bent | crooked | curved | winding
"Chit tiâu lō͘ chin khiau, khiâ o͘-thó͘-bái tio̍h-ài khah chù-ì lè!",,這條路很彎，騎機器腳踏車要注意,"This road has many curves, when riding a motorbike, one needs to be rather (very) careful."
khiâu,khiâu,使性的 | 脾氣暴躁的,be fretful | be peevish
"Chit ê gín-ná teh phòa-pīⁿ, só͘-í chin gâu khiâu.",,這個孩子病了，所以脾氣很暴躁,"This youngster is not well, so he is very fretful."
"Má-mà chin bô êng, lí m̄-thang khiâu tang khiâu sai.",,媽媽很忙，你別這麼使性,"Mother is very busy, don't fret about this and fret about that."
khîn,khîn,勤,industrious | diligent
khîn-bián,khîn-bián,勤勉,diligent | industrious
khin,khin,輕,light (not heavy)
khioh,khioh,拾到,to pick up | to gather
"Tī lō͘-ni̍h khioh ê, m̄-sī thau-the̍h ê.",,在路上拾到的，不是偷來的,"This was picked up in the street; it is not stolen. (I picked this up on the road, I did not steal it.)"
khit-chia̍h,khit-tsia̍h,乞食,a begger
kiû-khit,kiû-khit,求乞,to beg
Góa boeh kā lí kiû-khit chi̍t sut-lá chîⁿ lâi i pīⁿ.,,我要向你乞求一些錢來治病,I want to beg you for a bit of money to cure my sickness.
