en_GB,es,ja,zh_CN,zh_TW,en_US
Power Management,,,电源管理,電源管理程式,Power Management
Power Manager,,電源管理,电源管理器,電源管理程式,Power Manager
Power Manager Inhibit Applet,,省電力制御アプレット,电源管理器阻止管理小程序,電源抑制面板程式,Power Manager Inhibit Applet
Power Off,Apagar,電源オフ,关机,關閉電源,Power Off
Power Off menu,,,关机菜单,,Power Off menu
Power Off …,Apagar,電源オフ ...,关机 ...,關閉電源 …,Power Off …
Power OffSleep,ApagarSleep,電源オフSleep,电源关闭Sleep,關閉電源Sleep,Power OffSleep
Power Offtitle,Apagartitle,,,,Power Offtitle
Power Very Low,,,,電量非常低,Power Very Low
Power button action,,電源ボタンを押下した時のアクション,电源按钮动作,電源按鈕動作,Power button action
Power management,,電源管理,电源管理,電源管理,Power management
Power off,Apagar,電源オフ,关机,關閉電源,Power off
Power off the computer,Apagar el equipo,,关闭计算机,關閉電腦電源,Power off the computer
Power plugin,,電源プラグイン,电源插件,電源外掛程式,Power plugin
Power-off Retract Count,,,电源关闭磁头收回计数,斷電磁頭復歸次數,Power-off Retract Count
Pownal,,,波纳尔,,Pownal
Poznań,Pozna,,波兹南,波兹蘭,Poznań
Prachin Buri,,プラチンブリ,,巴真武里,Prachin Buri
Prachuap KhirikhanPrahaPrag,,プラチュアップキーリーカンPrahaPrag,,閣歷PrahaPrag,Prachuap KhirikhanPrahaPrag
Practicing In Scheme,Practicar Scheme,Scheme の練習,,,Practicing In Scheme
Prague,Praga,プラハ,布拉格,布拉格,Prague
Prairie Du Chien,,プレーリードゥシーン,,普雷里申,Prairie Du Chien
Prairie River,,プレイリー川,,普雷里河,Prairie River
Pratica Di Mare,,,,普拉提卡,Pratica Di Mare
Pratt,,プラット,普拉特,普拉特,Pratt
Pre-Fail,Pre-fallo,,,預報錯誤,Pre-Fail
Preamp,,プリアンプ,预放大,前置增幅,Preamp
Preface,Prefacio,まえがき,前言,,Preface
Prefix,Prefijo,プレフィックス,前缀,前綴,Prefix
Preformat,Preformato,,预格式化,,Preformat
Preparation,Preparación,準備,准备,準備,Preparation
Prepare for GIF,Preparar para GIF,GIF 向けに下準備する,,,Prepare for GIF
Preparing,,準備中,正在准备,正在準備,Preparing
Preparing ...,,,正在准备 ...,正在準備 …,Preparing ...
Preparing To Copy ...,,,,準備複製 ...,Preparing To Copy ...
Preparing e-mail,,,正在准备电子邮件,正在準備電子郵件,Preparing e-mail
Preparing for login ...,,,准备登录 ...,正在準備登入 ...,Preparing for login ...
Preparing to copy,,,,正在準備複製,Preparing to copy
Preparing to create new box,,新しいボックスを準備中,正在准备创建新 box,正在準備建立新箱子,Preparing to create new box
Preparing to import,,,正在准备导入,正在準備匯入,Preparing to import
Preparing to import ...,,,准备导入 ...,正在準備匯入 ...,Preparing to import ...
Preparing to print,,印刷の準備中,正在准备打印,正在準備列印,Preparing to print
Preparing to print …,,印刷の準備中 ...,正在准备打印 ...,正在準備列印 ...,Preparing to print …
Preparing to write CD,,CD へ書き込む準備をしています,准备写入 CD,準備燒錄 CD 中,Preparing to write CD
Preparing to write DVD,,DVD へ書き込む準備をしています,准备写入 DVD,準備燒錄 DVD 中,Preparing to write DVD
Preparing …,,準備しています ...,正在准备 ...,打印時顯示語法色彩,Preparing …
Pretoria,,プレトリア,比勒陀利亚,普利托里亞,Pretoria
Pretoria Irene,,プレトリア ・ イレーネ,,普利托里亞阿麗妮,Pretoria Irene
Pretty print,,分かりやすい表示にするかどうか,易读方式打印,易讀列印,Pretty print
Prev,Anterior,,预览,上一步,Prev
Prev Page,Página anterior,,上一页,,Prev Page
Prev Point,,前の端点,,上一點,Prev Point
Prev page,Página anterior,,上一页,,Prev page
Preveza,,,,普勒維札,Preveza
Preview,,プレビュー,预览,預覽,Preview
Preview !,,プレビュー,,,Preview !
Preview :,,プレビュー :,预览 ：,預覽 ：,Preview :
Preview GTK + theme,,GTK + のテーマとしてプレビューします,预览 GTK + 主题,,Preview GTK + theme
Preview Next Block,Ver próximo bloque,次のブロックを表示する,预览下一个方块,,Preview Next Block
Preview Pane :,,,预览面板 ：,,Preview Pane :
Preview Size,,プレビューサイズ,,,Preview Size
Preview Stream from URI,,URI からストリームをプレビュー,,,Preview Stream from URI
Preview before printing,,,打印前预览,列印前先預覽,Preview before printing
Preview colour :,,プレビュー色,,,Preview color :
Preview image,,縮小見本画像,,,Preview image
Preview once,,プレビュー更新,,,Preview once
Preview text,,プレビューする文字列,预览文本,預覽文字,Preview text
Previewlayer,,プレビューレイヤー,预览图层,預覽畫格 ︰,Previewlayer
Price,Precio,価格,价格,價格,Price
Price-Carbon,,,,普來士-卡本,Price-Carbon
Primary,Primario,プライマリ,主要,主要,Primary
Primary Color,Color primario,一番目の色,主色,主要顏色,Primary Color
Primary Colour,Color primario,一番目の色,主要颜色,第一種顏色,Primary color
Primary DNS :,DNS primario :,プライマリDNS :,主 DNS ：,主要 DNS ：,Primary DNS :
Primary Development,,主要開発者,,主要開發,Primary Development
Primary Development :,,メインの開発者 :,主要开发人员 :,主要開發 ：,Primary Development :
Primary E-Mail :,,,主要电子邮件 ：,,Primary E-Mail :
Primary E-mail,,,主要电子邮件,,Primary E-mail
Primary GIcon,GIcon primario,一番目の GIcon,主要 GIcon,主要 GIcon,Primary GIcon
Primary Partition,Partición primaria,,主分区,主要分割區,Primary Partition
Primary icon activatable,Icono primario activable,一番目のアイコンの有効可否,主要图标可激活,主要圖示可用性,Primary icon activatable
Primary icon name,,一番目のアイコンの名前,主要图标名,主要圖示名稱,Primary icon name
Primary icon tooltip markup,,,主要图标工具提示标记,主要圖示工具提示標記,Primary icon tooltip markup
Primary icon tooltip text,,一番目のアイコンのツールチップ,主要图标工具提示文字,主要圖示工具提示文字,Primary icon tooltip text
Primary pixbuf,Pixbuf primario,一番目の Pixbuf,主要 pixbuf,主要 pixbuf,Primary pixbuf
Primary pixbuf for the entry,,エントリで使用する一番目の Pixbuf 画像です,条目的主要 pixbuf,用於此項目的主要 pixbuf,Primary pixbuf for the entry
Primary toolbar,,,主工具栏,,Primary toolbar
Primitive,Primitivo,プリミティブ,根词,,Primitive
Prince Albert,,プリンス ・ アルバート,阿尔伯特王子城,阿伯特太子城,Prince Albert
Prince George,,プリンス ・ ジョージ,乔治王子城,喬治城,Prince George
Prince Rupert,,プリンスルーパート,,魯伯特港,Prince Rupert
Princeton,,プリンストン,普林斯顿,普林斯頓,Princeton
Princeton Airport,"Princeton , aeropuerto",プリンストン空港,,普林斯頓機場,Princeton Airport
Principe,Príncipe,プリンチペ,,普林西比,Principe
Print,Imprimir,印刷,打印,列印,Print
Print ...,Imprimir ...,印刷 ...,打印 ...,打印目前的圖片,Print ...
Print Content,,印刷する内容,打印内容,列印內容,Print Content
Print Footer,Imprimir nota,メモの印刷,退出 Gnote,離開Gnote,Print Footer
Print Hex Document,,16進ドキュメントを印刷します,打印十六进制文档,,Print Hex Document
Print Preview,,,打印预览,預覽列印,Print Preview
Print Preview ...,,印刷プレビュー ...,打印预览 ...,預覽列印 ...,Print Preview ...
Print Preview :,,印刷プレビュー :,打印预览 ：,預覽列印 ：,Print Preview :
Print Project,,,打印项目,列印專案,Print Project
Print Range,,印刷する範囲,打印范围,列印頁數範圍,Print Range
Print Report,Imprimir informe,,,,Print Report
Print Screen,Imprimir pantalla,,,,Print Screen
Print Setup,,印刷の設定,打印设置,列印設定,Print Setup
Print Simulation,,模擬印刷実験,,,Print Simulation
Print Size,,印刷サイズ ...,,,Print Size
Print Syntax Highlighting,,,打印语法高亮,,Print Syntax Highlighting
Print To,Imprimir en,,打印机,,Print To
Print error,,,打印错误,列印錯誤,Print error
Print file name,,,打印文件名,列印檔案名稱,Print file name
Print job,,印刷ジョブ,打印任务,列印工作,Print job
Print photo comment,,,打印照片备注,列印相片註解,Print photo comment
Print photo time,,,打印照片时间,列印相片時間,Print photo time
Print playing movie,,,打印正在播放的电影,顯示正在播放的電影,Print playing movie
Print preview,,印刷プレビューを表示します,打印预览,預覽列印,Print preview
Print preview of the current project,,現在編集中のプロジェクトのプレビューを表示します,当前项目的打印预览,目前專案的預覽列印,Print preview of the current project
Print range,Imprimir,印刷範囲,范围,列印範圍,Print range
Print the Current File,Imprimir el archivo actual,このファイルを印刷します,打印当前文件,列印目前頁面的資料,Print the Current File
Print the Gantt view,,Gantt グラフを印刷する,打印甘特图,列印甘特圖,Print the Gantt view
Print the current file,Imprimir el archivo actual,このファイルを印刷します,打印当前文件,列印目前文件,Print the current file
Print the current image,Imprimir la imagen actual,この画像を印刷します,打印当前的图像,列印目前的影像,Print the current image
Print the current page,Imprime la página actual,このページを印刷します,打印当前页面,列印目前的頁面內容,Print the current page
Print the current project,,現在編集中のプロジェクトを印刷します,打印当前项目,列印目前的專案,Print the current project
Print to,Imprimir en,,打印到,,Print to
Print …,Imprimir,印刷 ...,打印 ...,列印 ...,Print …
Printer,Imprimir,プリンター,打印机,印表機,Printer
Printer configuration error,,プリンターの設定エラーです,打印机配置错误,印表機組態錯誤,Printer configuration error
Printer error,,プリンターエラー,打印机错误,印表機錯誤,Printer error
Printer name,,プリンタ名,打印机名称,印表機名稱,Printer name
Printer name .,,利用するプリンタの名前です 。,打印机名称 。,印表機名稱 。,Printer name .
Printer off-line,,プリンターがオフラインです,没有连接打印机,印表機離線,Printer off-line
Printer report,,プリンターの報告,打印机报告,印表機報告,Printer report
Printer to print the job to,,印刷に使用するプリンタです,打印任务的打印机,用來列印此工作的印表機,Printer to print the job to
Printing,Imprimir,印刷,打印,列印,Printing
Printing ...,,印刷中 ...,正在打印 ...,列印中 ...,Printing ...
Printing Support,,印刷のサポート,打印支持,列印支援,Printing Support
Printing an Image,Imprimir una imágen,画像を開く,打开图像,開啟影像,Printing an Image
Printing bottom margin,,印刷時の下マージン,打印下边距,列印底部邊緣,Printing bottom margin
Printing file ...,,印刷中 ...,打印文件 ...,,Printing file ...
Printing left margin,,印刷時の左マージン,打印左边距,列印左邊邊緣,Printing left margin
Printing right margin,,印刷時の右マージン,打印右边距,列印右邊邊緣,Printing right margin
Printing top margin,,印刷時の上マージン,打印上边距,列印頂端邊緣,Printing top margin
Priority,,優先度,优先级,優先順序,Priority
Privacy,,プライバシー,隐私,私人,Privacy
Private,,プライベート,保密,私人,Private
Private DSA Key,,秘密 DSA 鍵,DSA 私钥,DSA 私鑰,Private DSA Key
Private Key,,秘密鍵,私钥,私鑰,Private Key
Private Key File :,,プライベートキーファイル :,私钥文件 ：,私密金鑰 ：,Private Key File :
Private PGP Key,,プライベート PGP 鍵,PGP 私钥,私人 PGP 金鑰,Private PGP Key
Private RSA Key,,秘密 RSA 鍵,RSA 私钥,RSA 私鑰,Private RSA Key
Private Secure Shell Key,,,SSH 私钥,,Private Secure Shell Key
Private clean,,,未被修改的私有内存,記憶體內容未被修改,Private clean
Private key,,秘密鍵,,私密金鑰,Private key
Priština,,,,普利斯提納,Priština
Probability plot .,,極座標系でプロットします ．,概率图 。,機率圖 。,Probability plot .
ProbabilityPlot,,,概率图,機率圖,ProbabilityPlot
Probe the network,,ネットワークを検出します,探测网络,偵測網路,Probe the network
Probhat,Bengalí,ベンガル語,孟加拉,孟加拉語,Probhat
Problem :,,問題 :,,問題 ：,Problem :
Problem Type :,,問題の種類 :,故障类型 ：,問題類型 ：,Problem Type :
Problem with Player Engine,,再生エンジンでエラー,播放器引擎出错,播放器引擎有問題,Problem with Player Engine
Profile,Perfil,プロファイル,简要描述文件,個人設定檔,Profile
Profile ID,,プロファイル ID,配置文件 ID,描述檔 ID,Profile ID
Profile Information,,プロファイル情報,,,Profile Information
Profile Manager,,,配置文件管理器,,Profile Manager
Profile Title,,プロファイルの名前,配置文件标题,描述檔標題,Profile Title
Profile configuration,,,配置文件配置,,Profile configuration
Profile copyright :,,プロファイルの著作権 :,配置文件版权 ：,描述檔著作權 ：,Profile copyright :
Profile information,,,配置文件信息,,Profile information
Profile name,,,配置文件名,,Profile name
Profile title,,プロファイルの名前,配置文件标题,描述檔標題,Profile title
Profile to create,Perfil para crear,生成するプロファイル,要创建的配置文件,要建立的描述檔,Profile to create
Profile type,,プロファイルの種類,配置文件类型,描述檔類型,Profile type
Profile type :,,プロファイルのタイプ :,配置文件类型 ：,設定組合類型 ：,Profile type :
Profiling alarm clock,,アラームクロックのプロファイル,个性化警报时钟,效能測試計時器週期結束,Profiling alarm clock
Program,Programa,プログラム,程序,程式,Program
Program :,Ejecutar un programa :,,程序,程序 ：,Program :
Program name,,プログラムの名前,程序名称,程式名稱,Program name
Programming,Programación,プログラミング ・ モードです,编程,程式開發,Programming
Project,Proyecto,プロジェクト,项目,專案,Project
Project :,Proyecto :,プロジェクト :,项目 ：,專案 :,Project :
Project Gutenberg,Proyecto Gutenberg,プロジェクト ・ グーテンベルク,古登堡计划,古騰堡專案,Project Gutenberg
Project Homepage,,プロジェクトのホームページへアクセス,访问项目主页,參訪專案首頁,Project Homepage
Project Management,,Planner プロジェクト管理,项目管理,專案管理,Project Management
Project Manager Plugin for Anjuta .,Complemento,,,,Project Manager Plugin for Anjuta .
Project Object,,プロジェクトのオブジェクト,项目对象,專案物件,Project Object
Project Plan,,プロジェクトの計画,项目计划,專案計劃,Project Plan
Project title :,,プロジェクト名 :,,專案題名 ：,Project title :
Project wiki,,,项目 Wiki,專案 wiki,Project wiki
Projector,Proyector,プロジェクター,投影仪,投影機,Projector
Prolog,,,,序言,Prolog
Prome,,,,勃郎,Prome
Promotion Type :,,プロモーションの種類 :,,,Promotion Type :
Prompt,,プロンプト,提示,提示,Prompt
Prompt Type,,,提示类型,提示類型,Prompt Type
Prompt before overwrite,,,,在覆蓋前提示使用者,Prompt before overwrite
Pronunciation,Pronunciación,発音,读音,發音,Pronunciation
Pronunciation Dictionary,,発音用の辞書,发音词典,發音字典,Pronunciation Dictionary
Propagate,Propagar,伝搬,,,Propagate
Propagating alpha channel,Propagar el canal alfa,アルファチャンネルを伝搬する,,,Propagating alpha channel
Propagating rate,,伝搬率,,,Propagating rate
Propagating value channel,,明度チャンネルを伝搬する,,,Propagating value channel
Propanal,,プロパナール,,丙醛,Propanal
Property,,プロパティ,大小,屬性,Property
Property Name,,プロパティ名,字体名称,屬性名稱,Property Name
Property name,,プログラムの名前,属性名称,屬性名稱,Property name
Property toolbar,,プロパティのツールバー,属性栏,特性工具列,Property toolbar
Proportional,Proporcional,,成比例的,成比例的,Proportional
Propylene,Propileno,プロピレン,丙烯,丙烯,Propylene
